"YearStart","YearEnd","LocationAbbr","State","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Total","Gender","Grade","Race.Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1","FID","Prevalence_in_the_States","SHAPE_Length","SHAPE_Area","prevalence_scale","amount_of_students"
2015,2015,"SC","South Carolina","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",26.3,26.3,"","",23.4,29.4,304,"","","12th","","(33.998821303, -81.045371207)","SD","SD1","Q058","VALUE",45,"Grade","12th","GRADE","GRADE12",40,31.7,4370940.54750344,878270407919.019,"Medium",79.952
2015,2015,"PR","Puerto Rico","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",12.2,12.2,"","",10.1,14.7,746,"","Male","","","(18.220833, -66.590149)","OWS","OWS1","Q039","VALUE",72,"Gender","Male","GEN","MALE",39,29.5,2136273.27059009,114783882870.193,"Low",91.012
2015,2015,"PA","Pennsylvania","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",17.4,17.4,"","",13.3,22.5,722,"","","10th","","(40.793730152, -77.860700294)","SD","SD1","Q058","VALUE",42,"Grade","10th","GRADE","GRADE10",47,30,5024348.11219534,1288451936889.14,"Medium",125.628
2015,2015,"MT","Montana","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",7.4,7.4,"","",6.3,8.7,2132,"","Female","","","(47.066528972, -109.424420645)","OWS","OWS1","Q038","VALUE",30,"Gender","Female","GEN","FEMALE",15,23.6,9745471.75354953,4371466366614.52,"Low",157.768
2015,2015,"MI","Michigan","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",28,28,"","",15.8,44.6,170,"","","","Asian","(44.661319543001, -84.71439027)","FV","FV1","Q020","VALUE",26,"Race/Ethnicity","Asian","RACE","RACEASN",11,31.2,12407988.0244766,1657221839418.83,"Medium",47.6
2015,2015,"FL","Florida","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",14,14,"","",12.1,16.3,1174,"","","12th","","(28.932040377, -81.928960539)","OWS","OWS1","Q039","VALUE",12,"Grade","12th","GRADE","GRADE12",13,26.8,10533929.1444184,1674411223041.2,"Low",164.36
2015,2015,"AR","Arkansas","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",18.1,18.1,"","",13.9,23.3,831,"","","10th","","(34.748650124, -92.274490743)","OWS","OWS1","Q038","VALUE",5,"Grade","10th","GRADE","GRADE10",24,34.5,5707634.00276971,1488699273848.93,"Medium",150.411
2015,2015,"NV","Nevada","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",29.1,29.1,"","",21.9,37.5,1406,"Total","","","","(39.49324039, -117.071840564)","PA","PA1","Q049","VALUE",32,"Total","Total","OVR","OVERALL",34,26.7,8240794.81048687,3564354191161.93,"Low",409.146
2015,2015,"DE","Delaware","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",36.6,36.6,"","",30.2,43.5,411,"","","","Hispanic","(39.008830667, -75.577741168)","FV","FV1","Q020","VALUE",10,"Race/Ethnicity","Hispanic","RACE","RACEHIS",46,29.7,1383604.11753278,59081101616.5539,"Low",150.426
2015,2015,"VT","Vermont","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",28.5,28.5,"","",24,33.4,355,"","","","American Indian/Alaska Native","(43.625381239, -72.517640791)","PA","PA1","Q048","VALUE",50,"Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",49,25.1,2653732.23226363,278931330216.061,"Low",101.175
2015,2015,"PA","Pennsylvania","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",40.1,40.1,"","",35.1,45.3,725,"","","9th","","(40.793730152, -77.860700294)","FV","FV1","Q021","VALUE",42,"Grade","9th","GRADE","GRADE09",47,30,5024348.11219534,1288451936889.14,"Medium",290.725
2015,2015,"VA","Virginia","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",14.1,14.1,"","",11.4,17.4,703,"","","","Hispanic","(37.542680674, -78.457890463)","SD","SD1","Q058","VALUE",51,"Race/Ethnicity","Hispanic","RACE","RACEHIS",7,29.2,7710803.89869229,1158804356933.99,"Low",99.123
2015,2015,"AK","Alaska","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Non-Hispanic Black","(64.845079957001, -147.722059036)","OWS","OWS1","Q039","VALUE",2,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",14,29.8,6663726.59054098,530113882116.939,"Low",NA
2015,2015,"KY","Kentucky","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",15.7,15.7,"","",11.7,20.9,534,"","","11th","","(37.645970271, -84.774971048)","OWS","OWS1","Q039","VALUE",21,"Grade","11th","GRADE","GRADE11",3,34.6,6346698.58704225,1128830286256.75,"Medium",83.838
2015,2015,"KY","Kentucky","Youth Risk Behavior Surveillance System","Television Viewing","Television Viewing - Behavior","Percent of students in grades 9-12 watching 3 or more hours of television each school day",NA,"Value",32.7,32.7,"","",22.7,44.6,128,"","","","Hispanic","(37.645970271, -84.774971048)","TV","TV1","Q059","VALUE",21,"Race/Ethnicity","Hispanic","RACE","RACEHIS",3,34.6,6346698.58704225,1128830286256.75,"Medium",41.856
2015,2015,"AR","Arkansas","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","American Indian/Alaska Native","(34.748650124, -92.274490743)","OWS","OWS1","Q039","VALUE",5,"Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",24,34.5,5707634.00276971,1488699273848.93,"Medium",NA
2015,2015,"SC","South Carolina","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",57.2,57.2,"","",53.9,60.4,675,"","Female","","","(33.998821303, -81.045371207)","FV","FV1","Q020","VALUE",45,"Gender","Female","GEN","FEMALE",40,31.7,4370940.54750344,878270407919.019,"Medium",386.1
2015,2015,"AR","Arkansas","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",29.4,29.4,"","",22.7,37,823,"","","10th","","(34.748650124, -92.274490743)","SD","SD1","Q058","VALUE",5,"Grade","10th","GRADE","GRADE10",24,34.5,5707634.00276971,1488699273848.93,"Medium",241.962
2015,2015,"PA","Pennsylvania","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",21.7,21.7,"","",17.2,27.1,266,"","","","Non-Hispanic Black","(40.793730152, -77.860700294)","OWS","OWS1","Q038","VALUE",42,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",47,30,5024348.11219534,1288451936889.14,"Medium",57.722
2015,2015,"WY","Wyoming","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",20,20,"","",15.5,25.3,1567,"","","","Non-Hispanic White","(43.235541343, -108.109830353)","PA","PA1","Q049","VALUE",56,"Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",30,29,6860971.19013795,2897400399041.46,"Low",313.4
2015,2015,"CA","California","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",36.9,36.9,"","",28.8,45.9,885,"","Female","","","(37.638640123, -120.999999538)","PA","PA1","Q049","VALUE",6,"Gender","Female","GEN","FEMALE",2,24.2,14518698.4566722,5327809415403.01,"Low",326.565
2015,2015,"MD","Maryland","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",40.8,40.8,"","",40.1,41.5,52025,"Total","","","","(39.290580964, -76.609260111)","FV","FV1","Q021","VALUE",24,"Total","Total","OVR","OVERALL",45,28.9,5850363.29291603,303943203091.598,"Low",21226.2
2015,2015,"VT","Vermont","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",27.7,27.7,"","",27.1,28.3,20632,"Total","","","","(43.625381239, -72.517640791)","FV","FV1","Q021","VALUE",50,"Total","Total","OVR","OVERALL",49,25.1,2653732.23226363,278931330216.061,"Low",5715.064
2015,2015,"MS","Mississippi","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",45.2,45.2,"","",41.7,48.8,715,"","","","Non-Hispanic White","(32.745510099, -89.538030825)","FV","FV1","Q021","VALUE",28,"Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",25,35.6,5834201.76787132,1327853198175.37,"Medium",323.18
2015,2015,"WV","West Virginia","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",33,33,"","",29,37.2,770,"","Male","","","(38.665510202, -80.712640135)","PA","PA1","Q048","VALUE",54,"Gender","Male","GEN","MALE",31,35.6,5374279.69717876,685167361615.589,"Medium",254.1
2015,2015,"CT","Connecticut","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",25.2,25.2,"","",21.1,29.7,671,"","","10th","","(41.56266102, -72.649840952)","PA","PA1","Q048","VALUE",9,"Grade","10th","GRADE","GRADE10",35,25.3,1780630.95573379,145421898735.938,"Low",169.092
2015,2015,"HI","Hawaii","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",12.4,12.4,"","",10,15.3,1336,"","","12th","","(21.304850435, -157.857749403)","OWS","OWS1","Q038","VALUE",15,"Grade","12th","GRADE","GRADE12",42,22.7,0,0,"Low",165.664
2015,2015,"RI","Rhode Island","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","American Indian/Alaska Native","(41.708280193, -71.522470314)","SD","SD1","Q058","VALUE",44,"Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",37,26,984524.581180468,36178076477.7396,"Low",NA
2015,2015,"NY","New York","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",13.3,13.3,"","",11.6,15.2,2313,"","","10th","","(42.827001032, -75.543970427)","OWS","OWS1","Q038","VALUE",36,"Grade","10th","GRADE","GRADE10",10,25,7981383.07788145,1411440550734.63,"Low",307.629
2015,2015,"HI","Hawaii","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Hawaiian/Pacific Islander","(21.304850435, -157.857749403)","FV","FV1","Q021","VALUE",15,"Race/Ethnicity","Hawaiian/Pacific Islander","RACE","RACEHPI",42,22.7,0,0,"Low",NA
2015,2015,"AR","Arkansas","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",49.2,49.2,"","",45.1,53.4,754,"","","11th","","(34.748650124, -92.274490743)","FV","FV1","Q020","VALUE",5,"Grade","11th","GRADE","GRADE11",24,34.5,5707634.00276971,1488699273848.93,"Medium",370.968
2015,2015,"AZ","Arizona","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",29.9,29.9,"","",21.8,39.4,170,"","","","American Indian/Alaska Native","(34.86597028, -111.763811277)","FV","FV1","Q021","VALUE",4,"Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",43,28.4,8044184.23304366,3562685913793.35,"Low",50.83
2015,2015,"NH","New Hampshire","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Hispanic","(43.655950113, -71.50036092)","FV","FV1","Q020","VALUE",33,"Race/Ethnicity","Hispanic","RACE","RACEHIS",52,26.3,2674767.14806674,270529403259.303,"Low",NA
2015,2015,"IL","Illinois","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",13.9,13.9,"","",10.8,17.8,867,"","","10th","","(40.485010283, -88.997710178)","OWS","OWS1","Q038","VALUE",17,"Grade","10th","GRADE","GRADE10",20,30.8,6172530.80822631,1571568299027.73,"Medium",120.513
2015,2015,"AZ","Arizona","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",10.2,10.2,"","",7.7,13.4,697,"","","11th","","(34.86597028, -111.763811277)","OWS","OWS1","Q038","VALUE",4,"Grade","11th","GRADE","GRADE11",43,28.4,8044184.23304366,3562685913793.35,"Low",71.094
2015,2015,"CA","California","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Hawaiian/Pacific Islander","(37.638640123, -120.999999538)","OWS","OWS1","Q039","VALUE",6,"Race/Ethnicity","Hawaiian/Pacific Islander","RACE","RACEHPI",2,24.2,14518698.4566722,5327809415403.01,"Low",NA
2015,2015,"HI","Hawaii","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",15,15,"","",12.3,18.2,1336,"","","12th","","(21.304850435, -157.857749403)","OWS","OWS1","Q039","VALUE",15,"Grade","12th","GRADE","GRADE12",42,22.7,0,0,"Low",200.4
2015,2015,"FL","Florida","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",24.1,24.1,"","",22.6,25.7,6164,"Total","","","","(28.932040377, -81.928960539)","PA","PA1","Q048","VALUE",12,"Total","Total","OVR","OVERALL",13,26.8,10533929.1444184,1674411223041.2,"Low",1485.524
2015,2015,"ID","Idaho","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",19.6,19.6,"","",10.2,34.4,511,"","","10th","","(43.682630005, -114.363730042)","PA","PA1","Q049","VALUE",16,"Grade","10th","GRADE","GRADE10",12,28.6,9081125.22209832,2593598268244.12,"Low",100.156
2015,2015,"AK","Alaska","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",43.9,43.9,"","",37.5,50.5,272,"","","12th","","(64.845079957001, -147.722059036)","FV","FV1","Q020","VALUE",2,"Grade","12th","GRADE","GRADE12",14,29.8,6663726.59054098,530113882116.939,"Low",119.408
2015,2015,"PA","Pennsylvania","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Asian","(40.793730152, -77.860700294)","PA","PA1","Q049","VALUE",42,"Race/Ethnicity","Asian","RACE","RACEASN",47,30,5024348.11219534,1288451936889.14,"Medium",NA
2015,2015,"ND","North Dakota","Youth Risk Behavior Surveillance System","Sugar Drinks","Sugar Drinks - Behavior","Percent of students in grades 9-12 who drank regular soda/pop at least one time per day",NA,"Value",19.5,19.5,"","",15.5,24.4,503,"","","12th","","(47.475319779, -100.118421049)","SD","SD1","Q058","VALUE",38,"Grade","12th","GRADE","GRADE12",51,31,5872756.35857996,2013151767399.38,"Medium",98.085
2015,2015,"MT","Montana","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Non-Hispanic Black","(47.066528972, -109.424420645)","OWS","OWS1","Q039","VALUE",30,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",15,23.6,9745471.75354953,4371466366614.52,"Low",NA
2015,2015,"AK","Alaska","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",15.4,15.4,"","",12.7,18.6,650,"","","","Non-Hispanic White","(64.845079957001, -147.722059036)","OWS","OWS1","Q039","VALUE",2,"Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT",14,29.8,6663726.59054098,530113882116.939,"Low",100.1
2015,2015,"AR","Arkansas","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have obesity",NA,"Value",19.3,19.3,"","",14.7,24.8,408,"","","","Hispanic","(34.748650124, -92.274490743)","OWS","OWS1","Q038","VALUE",5,"Race/Ethnicity","Hispanic","RACE","RACEHIS",24,34.5,5707634.00276971,1488699273848.93,"Medium",78.744
2015,2015,"CA","California","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",26.7,26.7,"","",16.1,40.7,101,"","","","2 or more races","(37.638640123, -120.999999538)","FV","FV1","Q020","VALUE",6,"Race/Ethnicity","2 or more races","RACE","RACE2PLUS",2,24.2,14518698.4566722,5327809415403.01,"Low",26.967
2015,2015,"NY","New York","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",45.8,45.8,"","",42.4,49.2,4211,"","Male","","","(42.827001032, -75.543970427)","FV","FV1","Q020","VALUE",36,"Gender","Male","GEN","MALE",10,25,7981383.07788145,1411440550734.63,"Low",1928.638
2015,2015,"FL","Florida","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume fruit less than 1 time daily",NA,"Value",38.6,38.6,"","",35.7,41.6,1154,"","","","Non-Hispanic Black","(28.932040377, -81.928960539)","FV","FV1","Q020","VALUE",12,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",13,26.8,10533929.1444184,1674411223041.2,"Low",445.444
2015,2015,"TN","Tennessee","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who participate in daily physical education",NA,"Value",28.4,28.4,"","",20.8,37.4,360,"","","","Hispanic","(35.68094058, -85.774490914)","PA","PA1","Q049","VALUE",47,"Race/Ethnicity","Hispanic","RACE","RACEHIS",8,33.8,6350376.86082221,1177054472558.46,"Medium",102.24
2015,2015,"RI","Rhode Island","Youth Risk Behavior Surveillance System","Physical Activity","Physical Activity - Behavior","Percent of students in grades 9-12 who achieve 1 hour or more of moderate-and/or vigorous-intensity physical activity daily",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","Hawaiian/Pacific Islander","(41.708280193, -71.522470314)","PA","PA1","Q048","VALUE",44,"Race/Ethnicity","Hawaiian/Pacific Islander","RACE","RACEHPI",37,26,984524.581180468,36178076477.7396,"Low",NA
2015,2015,"IN","Indiana","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",NA,NA,"-","Data not available because sample size is insufficient or data not reported.",NA,NA,NA,"","","","American Indian/Alaska Native","(39.766910452, -86.149960194)","OWS","OWS1","Q039","VALUE",18,"Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA",32,31.3,4858882.21795382,1010364222333.8,"Medium",NA
2015,2015,"FL","Florida","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",14.9,14.9,"","",13,17.1,1046,"","","","Non-Hispanic Black","(28.932040377, -81.928960539)","OWS","OWS1","Q039","VALUE",12,"Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK",13,26.8,10533929.1444184,1674411223041.2,"Low",155.854
2015,2015,"FL","Florida","Youth Risk Behavior Surveillance System","Obesity / Weight Status","Obesity / Weight Status","Percent of students in grades 9-12 who have an overweight classification",NA,"Value",15.9,15.9,"","",13.8,18.3,1863,"","","","Hispanic","(28.932040377, -81.928960539)","OWS","OWS1","Q039","VALUE",12,"Race/Ethnicity","Hispanic","RACE","RACEHIS",13,26.8,10533929.1444184,1674411223041.2,"Low",296.217
2015,2015,"CT","Connecticut","Youth Risk Behavior Surveillance System","Fruits and Vegetables","Fruits and Vegetables - Behavior","Percent of students in grades 9-12 who consume vegetables less than 1 time daily",NA,"Value",36.9,36.9,"","",33.4,40.5,1111,"","Male","","","(41.56266102, -72.649840952)","FV","FV1","Q021","VALUE",9,"Gender","Male","GEN","MALE",35,25.3,1780630.95573379,145421898735.938,"Low",409.959
